guard_id,age,location,deployment_type,shift_hours,late_arrivals,absenteeism,incidents_reported,incident_type,response_time_minutes,client_satisfaction_score,supervisor_rating,overtime_hours,contract_value,fuel_consumption_liters,distance_covered_km,patrol_vehicle_used,incident_rate,efficiency_score,total_cost,profit_margin,Client satisfaction %,profit margin %,Index,Date,Month Name,MonthNum,Year,efficeincy score %
G0139,52,Lagos,Event,8,0,0,3,Breach,27.5,56,49,13,895350,29.52,139.6,Yes,0.38,52.5,742696.02,17.05,56%,17.05%,138,7/27/2023,July,7,2023,53%
G0140,43,Port Harcourt,Corporate,10,0,0,3,Dispute,14.6,75,89,15,789838,13.91,112.8,No,0.3,82,676726.06,14.32,75%,14.32%,139,8/28/2024,August,8,2024,82%
G0147,22,Kano,Event,8,0,0,3,Breach,28.7,70,80,17,902288,23.33,150,Yes,0.38,75,784669.85,13.04,70%,13.04%,146,3/7/2023,March,3,2023,75%
G0185,26,Port Harcourt,Event,12,0,0,3,Unknown,25.3,93,82,4,567429,20.87,70.5,No,0.25,87.5,380631.82,32.92,93%,32.92%,184,5/17/2023,May,5,2023,88%
G0197,35,Abuja,Event,12,0,0,3,Unknown,16.2,65,56,8,743884,15.44,167,Yes,0.25,60.5,659258.39,11.38,65%,11.38%,196,5/1/2023,May,5,2023,61%
G0224,54,Ibadan,Event,12,0,0,3,Dispute,19.9,70,80,7,646655,18.51,138.8,Yes,0.25,75,475582.21,26.46,70%,26.46%,223,8/28/2024,August,8,2024,75%
G0247,52,Ibadan,Corporate,10,0,0,3,Theft,30.4,64,46,17,755235,17.24,129.1,No,0.3,55,660571.8,12.53,64%,12.53%,246,7/23/2023,July,7,2023,55%
G0249,52,Lagos,Corporate,10,0,0,3,Breach,13.2,52,53,8,1373877,16.47,107.2,No,0.3,52.5,1270240.53,7.54,52%,7.54%,248,9/25/2023,September,9,2023,53%
G0270,37,Kano,Event,12,0,0,3,Breach,21.9,72,90,17,1274939,15.08,179.2,No,0.25,81,782422.01,38.63,72%,38.63%,269,6/18/2024,June,6,2024,81%
G0279,46,Lagos,Industrial,8,0,0,3,Equipment Failure,23.1,59,79,17,1239203,29.1,54.8,Yes,0.38,69,881328.23,28.88,59%,28.88%,278,3/27/2023,March,3,2023,69%
G0280,21,Port Harcourt,Retail,10,0,0,3,Dispute,17.9,69,93,10,932909,10,72.9,No,0.3,81,883374.4,5.31,69%,5.31%,279,4/28/2024,April,4,2024,81%
G0284,28,Ibadan,Industrial,12,0,0,3,Breach,16.2,50,74,7,932592,13.75,86.7,Yes,0.25,62,880785.47,5.56,50%,5.56%,283,8/4/2024,August,8,2024,62%
G0308,41,Kano,Retail,8,0,0,3,Equipment Failure,12.6,68,42,0,1348378,17.26,159.2,No,0.38,55,1101214.98,18.33,68%,18.33%,307,8/28/2024,August,8,2024,55%
G0318,54,Ibadan,Retail,12,0,0,3,Theft,31.5,92,66,18,1305591,9.7,181.1,Yes,0.25,79,898983.97,31.14,92%,31.14%,317,6/10/2024,June,6,2024,79%
G0319,35,Port Harcourt,Retail,10,0,0,3,Breach,29.2,52,60,14,1022300,27.2,34.9,Yes,0.3,56,949651.65,7.11,52%,7.11%,318,7/11/2023,July,7,2023,56%
G0322,38,Ibadan,Retail,8,0,0,3,Equipment Failure,29.8,76,89,9,1432560,23.11,104,Yes,0.38,82.5,1166523.34,18.57,76%,18.57%,321,10/14/2024,October,10,2024,83%
G0330,31,Port Harcourt,Industrial,8,0,0,3,Equipment Failure,26,86,85,8,1374377,17.39,40.5,No,0.38,85.5,1131645.32,17.66,86%,17.66%,329,6/22/2024,June,6,2024,86%
G0331,20,Abuja,Corporate,8,0,0,3,Unknown,31.8,53,57,11,1042647,17.54,26.2,Yes,0.38,55,948826.07,9,53%,9.00%,330,7/23/2023,July,7,2023,55%
G0370,35,Abuja,Retail,8,0,0,3,Breach,31.7,95,58,5,313698,12.33,147,No,0.38,76.5,200760.97,36,95%,36.00%,369,10/6/2024,October,10,2024,77%
G0382,52,Lagos,Corporate,12,0,0,3,Unknown,26.6,59,55,13,743226,6.94,116.9,No,0.25,57,451646.34,39.23,59%,39.23%,381,10/18/2024,October,10,2024,57%
G0398,48,Kano,Corporate,8,0,0,3,Breach,17.9,99,75,5,720129,21.96,56.5,Yes,0.38,87,557914.89,22.53,99%,22.53%,397,2/6/2024,February,2,2024,87%
G0418,51,Abuja,Residential,10,0,0,3,Breach,31.8,75,57,0,419095,28.78,40.3,No,0.3,66,262058.41,37.47,75%,37.47%,417,10/26/2024,October,10,2024,66%
G0419,31,Ibadan,Residential,10,0,0,3,Equipment Failure,27.7,52,72,2,1251399,6.93,101.9,Yes,0.3,62,1076984.36,13.94,52%,13.94%,418,11/27/2023,November,11,2023,62%
G0421,42,Port Harcourt,Corporate,8,0,0,3,Equipment Failure,25.6,93,55,1,1166603,27.1,124.6,Yes,0.38,74,1107389.43,5.08,93%,5.08%,420,1/1/2023,January,1,2023,74%
G0425,36,Abuja,Event,12,0,0,3,Theft,25.4,84,44,15,1048501,15.4,135.4,Yes,0.25,64,854974.98,18.46,84%,18.46%,424,5/5/2023,May,5,2023,64%
G0449,50,Kano,Residential,8,0,0,3,Breach,24.2,91,82,14,1174113,29.25,64,Yes,0.38,86.5,864389.23,26.38,91%,26.38%,448,5/1/2023,May,5,2023,87%
G0457,28,Ibadan,Residential,12,0,0,3,Fire,23.7,97,81,4,620098,19.86,100.5,No,0.25,89,565287.52,8.84,97%,8.84%,456,1/9/2023,January,1,2023,89%
G0479,29,Ibadan,Retail,10,0,0,3,Fire,23.3,57,56,14,1316487,11.61,72.2,No,0.3,56.5,1080771.66,17.9,57%,17.90%,478,11/3/2023,November,11,2023,57%
G0480,45,Ibadan,Industrial,8,0,0,3,Unknown,16.8,69,55,6,1499744,8.25,51.4,Yes,0.38,62,952159.82,36.51,69%,36.51%,479,12/4/2024,December,12,2024,62%
G0499,30,Kano,Residential,12,0,0,3,Fire,18.6,85,68,14,1222532,27.17,13.7,Yes,0.25,76.5,789452.62,35.42,85%,35.42%,498,7/23/2023,July,7,2023,77%
G0510,42,Abuja,Retail,8,0,0,3,Equipment Failure,23.2,77,68,17,479729,17.93,79,No,0.38,72.5,425397.22,11.33,77%,11.33%,509,6/6/2024,June,6,2024,73%
G0511,30,Abuja,Corporate,8,0,0,3,Dispute,25.5,76,98,4,1488146,6.86,148.7,No,0.38,87,1296288.92,12.89,76%,12.89%,510,7/7/2023,July,7,2023,87%
G0513,29,Lagos,Event,8,0,0,3,Dispute,13.2,52,48,6,984153,26.71,113.2,No,0.38,50,639267.31,35.04,52%,35.04%,512,9/9/2023,September,9,2023,50%
G0525,47,Ibadan,Industrial,8,0,0,3,Theft,26.1,80,93,11,545620,26.72,46.8,No,0.38,86.5,377633.08,30.79,80%,30.79%,524,9/21/2023,September,9,2023,87%
G0534,32,Ibadan,Corporate,10,0,0,3,Breach,28.5,95,65,10,1058912,22.8,13.5,Yes,0.3,80,920182.17,13.1,95%,13.10%,533,6/2/2024,June,6,2024,80%
G0584,45,Lagos,Retail,10,0,0,3,Fire,36,55,84,1,1223618,25.98,90.5,No,0.3,69.5,1021866.38,16.49,55%,16.49%,583,8/24/2024,August,8,2024,70%
G0602,49,Ibadan,Retail,8,0,0,3,Equipment Failure,25.4,76,49,12,590706,18.3,137.4,No,0.38,62.5,395927.04,32.97,76%,32.97%,601,2/14/2024,February,2,2024,63%
G0616,29,Lagos,Industrial,8,0,0,3,Theft,22.1,88,66,9,1411227,20.05,86,No,0.38,77,1093909.98,22.49,88%,22.49%,615,4/28/2024,April,4,2024,77%
G0628,50,Ibadan,Corporate,12,0,0,3,Unknown,27.5,60,67,16,945452,11.87,128.7,Yes,0.25,63.5,654619.96,30.76,60%,30.76%,627,4/12/2024,April,4,2024,64%
G0632,23,Port Harcourt,Corporate,8,0,0,3,Fire,32.8,73,88,19,821315,5.15,174.7,Yes,0.38,80.5,638609.78,22.25,73%,22.25%,631,8/16/2024,August,8,2024,81%
G0638,46,Lagos,Retail,8,0,0,3,Theft,16.3,94,92,9,822117,16.05,152.7,Yes,0.38,93,504373.03,38.65,94%,38.65%,637,2/22/2024,February,2,2024,93%
G0651,31,Kano,Corporate,8,0,0,3,Equipment Failure,16.7,85,87,19,621546,21.58,47.4,Yes,0.38,86,394182.26,36.58,85%,36.58%,650,3/7/2023,March,3,2023,86%
G0672,33,Kano,Industrial,8,0,0,3,Dispute,31.9,68,99,6,620961,12.95,145.2,Yes,0.38,83.5,447212.1,27.98,68%,27.98%,671,12/28/2024,December,12,2024,84%
G0682,34,Lagos,Industrial,12,0,0,3,Breach,20.8,60,99,8,1480181,25.39,160.3,No,0.25,79.5,997152.04,32.63,60%,32.63%,681,10/10/2024,October,10,2024,80%
G0711,23,Port Harcourt,Residential,8,0,0,3,Fire,21.5,82,80,16,1174075,8.95,195.5,Yes,0.38,81,852776.81,27.37,82%,27.37%,710,3/11/2023,March,3,2023,81%
G0713,30,Lagos,Residential,12,0,0,3,Dispute,15.6,64,65,2,756082,19.73,44.3,No,0.25,64.5,711592.57,5.88,64%,5.88%,712,5/13/2023,May,5,2023,65%
G0739,23,Abuja,Residential,12,0,0,3,Equipment Failure,23.6,62,65,5,438923,5.48,69,Yes,0.25,63.5,364703.25,16.91,62%,16.91%,738,7/11/2023,July,7,2023,64%
G0744,31,Ibadan,Residential,12,0,0,3,Equipment Failure,25.6,63,43,6,426745,15.15,184.9,Yes,0.25,53,266884.07,37.46,63%,37.46%,743,12/16/2024,December,12,2024,53%
G0748,30,Lagos,Retail,12,0,0,3,Unknown,24,61,48,6,674557,18.73,198.1,Yes,0.25,54.5,454668.51,32.6,61%,32.60%,747,4/20/2024,April,4,2024,55%
G0766,34,Port Harcourt,Residential,10,0,0,3,Equipment Failure,18.5,68,55,10,813796,10.13,155.1,No,0.3,61.5,651690.19,19.92,68%,19.92%,765,10/10/2024,October,10,2024,62%
G0788,24,Abuja,Residential,8,0,0,3,Dispute,26.1,55,56,16,820410,23.81,148,No,0.38,55.5,537949.12,34.43,55%,34.43%,787,8/4/2024,August,8,2024,56%
G0790,33,Lagos,Retail,12,0,0,3,Unknown,29.1,99,46,14,680703,9.92,114,No,0.25,72.5,515450.77,24.28,99%,24.28%,789,10/6/2024,October,10,2024,73%
G0825,29,Lagos,Event,10,0,0,3,Equipment Failure,22,54,54,6,672429,28.01,61.7,Yes,0.3,54,593025.76,11.81,54%,11.81%,824,9/13/2023,September,9,2023,54%
G0845,39,Abuja,Event,8,0,0,3,Breach,30.5,78,87,8,903148,26.56,34.3,No,0.38,82.5,694896.57,23.06,78%,23.06%,844,5/5/2023,May,5,2023,83%
G0862,47,Abuja,Retail,10,0,0,3,Theft,34.5,58,83,11,1300778,28.31,75.5,No,0.3,70.5,972602.44,25.23,58%,25.23%,861,10/22/2024,October,10,2024,71%
G0883,45,Kano,Residential,8,0,0,3,Fire,5,70,78,5,728053,10.8,15.2,No,0.38,74,500127.86,31.31,70%,31.31%,882,7/15/2023,July,7,2023,74%
G0915,38,Port Harcourt,Event,8,0,0,3,Theft,24.9,55,72,7,819518,20.3,162.8,No,0.38,63.5,587103.29,28.36,55%,28.36%,914,3/19/2023,March,3,2023,64%
G0957,51,Kano,Event,10,0,0,3,Theft,36.8,67,56,19,413076,28.35,51.8,No,0.3,61.5,286369.46,30.67,67%,30.67%,956,9/5/2023,September,9,2023,62%
G0006,42,Abuja,Corporate,12,0,0,4,Fire,20.5,73,61,8,381748,19.26,71.3,No,0.33,67,340749.2,10.74,73%,10.74%,5,6/6/2024,June,6,2024,67%
G0049,37,Lagos,Industrial,8,0,0,6,Unknown,20.5,89,99,5,1495050,15.25,191.3,No,0.75,94,1060897.05,29.04,89%,29.04%,48,1/21/2023,January,1,2023,94%
G0103,46,Kano,Corporate,8,0,0,6,Dispute,20,56,77,17,1116473,15.1,113.9,Yes,0.75,66.5,1003683.68,10.1,56%,10.10%,102,7/19/2023,July,7,2023,67%
G0132,46,Port Harcourt,Event,8,0,0,4,Dispute,24.4,64,57,7,1471116,14.51,27.4,No,0.5,60.5,1221637.03,16.96,64%,16.96%,131,12/20/2024,December,12,2024,61%
G0171,35,Abuja,Industrial,8,0,0,6,Fire,6.6,87,48,7,391860,24.06,143.2,Yes,0.75,67.5,274206.49,30.02,87%,30.02%,170,3/3/2023,March,3,2023,68%
G0237,31,Abuja,Corporate,8,0,0,4,Equipment Failure,27.9,58,95,7,878078,11.24,106.3,No,0.5,76.5,612724.86,30.22,58%,30.22%,236,9/13/2023,September,9,2023,77%
G0311,52,Abuja,Corporate,12,0,0,4,Fire,20.2,71,82,3,1352233,13.43,82.7,Yes,0.33,76.5,1087812.77,19.55,71%,19.55%,310,11/3/2023,November,11,2023,77%
G0346,48,Lagos,Residential,12,0,0,4,Unknown,38,63,99,5,822886,11.64,62.3,No,0.33,81,690562.35,16.08,63%,16.08%,345,10/10/2024,October,10,2024,81%
G0351,24,Kano,Event,8,0,0,5,Fire,18.6,75,65,13,336719,8.23,98.9,Yes,0.62,70,269221.04,20.05,75%,20.05%,350,3/15/2023,March,3,2023,70%
G0353,35,Port Harcourt,Retail,8,0,0,4,Dispute,28.5,59,77,7,407271,6.37,83.2,No,0.5,68,373923,8.19,59%,8.19%,352,5/17/2023,May,5,2023,68%
G0388,48,Abuja,Residential,12,0,0,4,Dispute,22.8,86,43,12,509870,24.2,64,Yes,0.33,64.5,353158,30.74,86%,30.74%,387,4/24/2024,April,4,2024,65%
G0408,40,Port Harcourt,Industrial,12,0,0,4,Unknown,22.2,93,53,1,827800,16.4,106,Yes,0.33,73,607266.55,26.64,93%,26.64%,407,12/16/2024,December,12,2024,73%
G0452,42,Ibadan,Corporate,10,0,0,4,Unknown,12.6,88,77,19,851151,29.61,152.9,Yes,0.4,82.5,768426.96,9.72,88%,9.72%,451,8/4/2024,August,8,2024,83%
G0466,48,Kano,Retail,8,0,0,4,Theft,26.8,82,84,1,762753,21.3,157.9,Yes,0.5,83,542282.96,28.9,82%,28.90%,465,10/18/2024,October,10,2024,83%
G0531,32,Abuja,Retail,10,0,0,4,Theft,34.1,86,79,7,1419877,12.63,32.9,No,0.4,82.5,959113.01,32.45,86%,32.45%,530,3/27/2023,March,3,2023,83%
G0578,20,Ibadan,Residential,8,0,0,4,Breach,14.6,50,51,4,404946,11.08,160.7,Yes,0.5,50.5,269516.54,33.44,50%,33.44%,577,2/18/2024,February,2,2024,51%
G0612,48,Ibadan,Retail,10,0,0,5,Breach,30.1,56,95,2,835382,22.69,194.8,No,0.5,75.5,768390.62,8.02,56%,8.02%,611,12/24/2024,December,12,2024,76%
G0641,38,Kano,Residential,10,0,0,4,Unknown,32.3,89,51,16,441868,13.75,116.7,Yes,0.4,70,304242.1,31.15,89%,31.15%,640,5/25/2023,May,5,2023,70%
G0685,29,Port Harcourt,Residential,12,0,0,5,Fire,34.9,57,96,3,1273945,14.48,64.3,No,0.42,76.5,1153623.71,9.44,57%,9.44%,684,1/13/2023,January,1,2023,77%
G0700,27,Ibadan,Residential,10,0,0,4,Breach,25.7,96,87,3,906990,8.91,124.6,Yes,0.4,91.5,814248.21,10.23,96%,10.23%,699,4/28/2024,April,4,2024,92%
G0737,25,Abuja,Event,12,0,0,5,Theft,34,61,89,10,611493,23.1,181,No,0.42,75,547018.51,10.54,61%,10.54%,736,5/9/2023,May,5,2023,75%
G0738,45,Lagos,Residential,8,0,0,4,Theft,35.2,51,81,7,1487462,15.29,32.4,Yes,0.5,66,961494.38,35.36,51%,35.36%,737,6/10/2024,June,6,2024,66%
G0792,23,Abuja,Corporate,10,0,0,4,Fire,37,57,55,6,724018,16.45,195.4,No,0.4,56,574266.05,20.68,57%,20.68%,791,12/8/2024,December,12,2024,56%
G0830,50,Kano,Retail,12,0,0,4,Equipment Failure,31.5,80,77,3,1321445,5.81,77.7,No,0.33,78.5,997322.62,24.53,80%,24.53%,829,2/18/2024,February,2,2024,79%
G0848,25,Lagos,Industrial,12,0,0,6,Equipment Failure,22.3,79,93,10,347252,27.5,195.7,Yes,0.5,86,326235.62,6.05,79%,6.05%,847,8/8/2024,August,8,2024,86%
G0013,21,Lagos,Retail,8,0,0,0,None,36.6,69,62,6,1420116,13.45,93,No,0,65.5,943622.75,33.55,69%,33.55%,12,1/13/2023,January,1,2023,66%
G0017,40,Kano,Corporate,10,0,0,0,None,24,94,52,10,1365751,13.1,42,Yes,0,73,908732.55,33.46,94%,33.46%,16,5/17/2023,May,5,2023,73%
G0018,52,Kano,Corporate,12,0,0,0,None,34,90,62,0,1152119,20.91,160.3,Yes,0,76,910279.32,20.99,90%,20.99%,17,6/18/2024,June,6,2024,76%
G0020,41,Kano,Industrial,8,0,0,0,None,18.6,74,71,16,781503,18.32,118.3,No,0,72.5,587169.66,24.87,74%,24.87%,19,8/20/2024,August,8,2024,73%
G0021,44,Abuja,Corporate,8,0,0,0,None,33.1,91,84,4,1050071,23.98,41.8,Yes,0,87.5,865946.92,17.53,91%,17.53%,20,9/21/2023,September,9,2023,88%
G0033,33,Abuja,Retail,8,0,0,0,None,11.2,56,99,15,695507,27.32,132.7,No,0,77.5,526187.24,24.34,56%,24.34%,32,9/5/2023,September,9,2023,78%
G0037,39,Lagos,Residential,8,0,0,0,None,19.9,62,63,7,1167481,20.38,158.2,No,0,62.5,709530.78,39.23,62%,39.23%,36,1/9/2023,January,1,2023,63%
G0043,36,Port Harcourt,Corporate,10,0,0,0,None,27.9,65,63,10,870569,10.6,179,Yes,0,64,716786.71,17.66,65%,17.66%,42,7/15/2023,July,7,2023,64%
G0058,42,Abuja,Retail,8,0,0,0,None,16.6,82,67,9,484215,29.69,90.3,No,0,74.5,369211.34,23.75,82%,23.75%,57,10/2/2024,October,10,2024,75%
G0071,43,Port Harcourt,Residential,12,0,0,0,None,32.8,88,45,15,818680,26.52,193.6,No,0,66.5,571570.59,30.18,88%,30.18%,70,11/15/2023,November,11,2023,67%
G0072,20,Lagos,Event,8,0,0,0,None,27.4,96,44,9,496437,5.33,178.2,No,0,70,414930.43,16.42,96%,16.42%,71,12/16/2024,December,12,2024,70%
G0079,54,Ibadan,Corporate,12,0,0,0,None,28.2,64,51,5,1050561,6.71,134.4,No,0,57.5,936356.22,10.87,64%,10.87%,78,7/23/2023,July,7,2023,58%
G0081,24,Kano,Industrial,10,0,0,0,None,28.6,62,86,9,1230728,11.55,29.7,No,0,74,1031137.84,16.22,62%,16.22%,80,9/25/2023,September,9,2023,74%
G0084,28,Lagos,Corporate,8,0,0,0,None,9.8,86,40,8,1051564,13.5,43.9,Yes,0,63,698444.29,33.58,86%,33.58%,83,12/28/2024,December,12,2024,63%
G0107,45,Kano,Retail,8,0,0,0,None,25.2,93,87,13,1138418,24.55,101.8,Yes,0,90,774999.61,31.92,93%,31.92%,106,11/23/2023,November,11,2023,90%
G0129,44,Lagos,Residential,12,0,0,0,None,25.9,67,87,18,479022,26.71,128.7,No,0,77,445089.15,7.08,67%,7.08%,128,9/17/2023,September,9,2023,77%
G0152,42,Kano,Industrial,10,0,0,0,None,40.5,88,88,12,994199,15.61,131.1,Yes,0,88,808684.86,18.66,88%,18.66%,151,8/12/2024,August,8,2024,88%
G0155,20,Kano,Corporate,10,0,0,0,None,12,98,73,5,515963,26.19,46.1,Yes,0,85.5,411699.91,20.21,98%,20.21%,154,11/15/2023,November,11,2023,86%
G0156,38,Port Harcourt,Retail,8,0,0,0,None,5,92,81,18,1474188,20.74,45.5,No,0,86.5,1242627.16,15.71,92%,15.71%,155,12/16/2024,December,12,2024,87%
G0158,45,Lagos,Retail,12,0,0,0,None,26.1,86,72,6,1124965,27.25,140.2,No,0,79,1027599.3,8.65,86%,8.65%,157,2/18/2024,February,2,2024,79%
G0169,41,Lagos,Corporate,8,0,0,0,None,34.4,69,76,13,1176122,12.27,141.2,Yes,0,72.5,901962.06,23.31,69%,23.31%,168,1/1/2023,January,1,2023,73%
G0178,39,Kano,Retail,12,0,0,0,None,18.3,87,56,11,756123,22.11,108.3,No,0,71.5,507920.32,32.83,87%,32.83%,177,10/10/2024,October,10,2024,72%
G0180,45,Abuja,Industrial,8,0,0,0,None,30.5,64,74,5,1350600,16.22,133.8,Yes,0,69,1075186.85,20.39,64%,20.39%,179,12/12/2024,December,12,2024,69%
G0195,54,Kano,Residential,12,0,0,0,None,23.1,91,67,13,1137654,18.85,39.5,Yes,0,79,984665.88,13.45,91%,13.45%,194,3/27/2023,March,3,2023,79%
G0196,26,Kano,Industrial,12,0,0,0,None,24,93,82,12,793301,22.63,119.6,No,0,87.5,649761.38,18.09,93%,18.09%,195,4/28/2024,April,4,2024,88%
G0213,30,Kano,Retail,8,0,0,0,None,17.6,60,80,16,483719,14.81,132.3,No,0,70,414476.82,14.31,60%,14.31%,212,9/17/2023,September,9,2023,70%
G0227,23,Ibadan,Industrial,10,0,0,0,None,22.3,67,64,6,1177709,29.7,91.9,Yes,0,65.5,1067836.46,9.33,67%,9.33%,226,11/3/2023,November,11,2023,66%
G0238,41,Kano,Residential,10,0,0,0,None,17.7,85,51,13,1032320,19.34,169.6,No,0,68,706479.66,31.56,85%,31.56%,237,10/14/2024,October,10,2024,68%
G0240,49,Abuja,Residential,12,0,0,0,None,17.2,98,87,3,785320,23.07,71.5,Yes,0,92.5,730815.75,6.94,98%,6.94%,239,12/16/2024,December,12,2024,93%
G0245,40,Abuja,Event,10,0,0,0,None,5.8,90,70,19,1248084,13.69,184.2,No,0,80,763624.53,38.82,90%,38.82%,244,5/21/2023,May,5,2023,80%
G0262,50,Abuja,Corporate,8,0,0,0,None,33.7,58,51,0,1350421,28.28,61.4,Yes,0,54.5,902103.17,33.2,58%,33.20%,261,10/10/2024,October,10,2024,55%
G0271,44,Ibadan,Corporate,12,0,0,0,None,23.6,79,71,13,580371,22.72,74.9,Yes,0,75,540423.56,6.88,79%,6.88%,270,7/19/2023,July,7,2023,75%
G0299,34,Abuja,Industrial,8,0,0,0,None,38.4,52,80,18,1416380,26.63,13.7,No,0,66,1295934.68,8.5,52%,8.50%,298,11/19/2023,November,11,2023,66%
G0313,24,Abuja,Retail,12,0,0,0,None,11.7,82,45,12,1236184,7.12,137.8,Yes,0,63.5,878497.55,28.93,82%,28.93%,312,1/5/2023,January,1,2023,64%
G0337,35,Abuja,Residential,8,0,0,0,None,30.5,97,53,13,316220,13.38,140,Yes,0,75,289958.44,8.3,97%,8.30%,336,1/1/2023,January,1,2023,75%
G0338,24,Ibadan,Event,8,0,0,0,None,7.8,56,64,1,695462,26.58,111.4,No,0,60,456136.14,34.41,56%,34.41%,337,2/2/2024,February,2,2024,60%
G0340,48,Port Harcourt,Event,8,0,0,0,None,19.9,61,79,12,783419,18.21,54.4,Yes,0,70,719265.72,8.19,61%,8.19%,339,4/4/2024,April,4,2024,70%
G0387,29,Ibadan,Retail,10,0,0,0,None,44.9,68,80,15,772803,22.36,170.1,Yes,0,74,654375.6,15.32,68%,15.32%,386,3/23/2023,March,3,2023,74%
G0409,29,Ibadan,Industrial,12,0,0,0,None,25.9,91,43,13,986860,25.35,57,Yes,0,67,702333.45,28.83,91%,28.83%,408,1/17/2023,January,1,2023,67%
G0411,43,Port Harcourt,Event,8,0,0,0,None,25,82,95,16,378743,18.46,146.6,No,0,88.5,256421.61,32.3,82%,32.30%,410,3/19/2023,March,3,2023,89%
G0416,43,Ibadan,Retail,8,0,0,0,None,33.2,71,52,16,1028927,12.64,30.4,No,0,61.5,811286.41,21.15,71%,21.15%,415,8/24/2024,August,8,2024,62%
G0417,42,Abuja,Retail,12,0,0,0,None,22.1,66,85,7,1481447,22.4,173.8,No,0,75.5,1020786.87,31.1,66%,31.10%,416,9/25/2023,September,9,2023,76%
G0430,38,Port Harcourt,Industrial,12,0,0,0,None,22.8,71,51,6,1447328,7.01,52.3,Yes,0,61,1112470.53,23.14,71%,23.14%,429,10/10/2024,October,10,2024,61%
G0437,33,Lagos,Industrial,10,0,0,0,None,26.5,76,66,12,1246740,23.9,127.4,Yes,0,71,748323.03,39.98,76%,39.98%,436,5/17/2023,May,5,2023,71%
G0450,24,Kano,Corporate,12,0,0,0,None,22.3,68,43,18,1078810,18.79,149.3,Yes,0,55.5,932691.31,13.54,68%,13.54%,449,6/2/2024,June,6,2024,56%
G0459,36,Kano,Industrial,10,0,0,0,None,25.6,85,63,19,1057902,11.4,125.9,Yes,0,74,817754.04,22.7,85%,22.70%,458,3/11/2023,March,3,2023,74%
G0460,26,Kano,Industrial,8,0,0,0,None,30.9,66,92,18,1171612,9.92,87.3,No,0,79,1087171.67,7.21,66%,7.21%,459,4/12/2024,April,4,2024,79%
G0463,46,Ibadan,Industrial,12,0,0,0,None,26.9,51,56,16,844043,19.03,93,Yes,0,53.5,598313.27,29.11,51%,29.11%,462,7/15/2023,July,7,2023,54%
G0465,24,Port Harcourt,Corporate,8,0,0,0,None,20.3,93,98,9,556094,11.72,184,No,0,95.5,378050,32.02,93%,32.02%,464,9/17/2023,September,9,2023,96%
G0497,35,Ibadan,Industrial,8,0,0,0,None,39.9,51,76,14,1097177,27.31,28,Yes,0,63.5,830911.95,24.27,51%,24.27%,496,5/21/2023,May,5,2023,64%
G0503,37,Port Harcourt,Corporate,10,0,0,0,None,25.4,96,45,16,1173055,23.86,162.4,No,0,70.5,1017302.24,13.28,96%,13.28%,502,11/27/2023,November,11,2023,71%
G0505,34,Kano,Corporate,8,0,0,0,None,21.1,51,45,14,899262,28.4,160.7,Yes,0,48,585465.15,34.89,51%,34.89%,504,1/1/2023,January,1,2023,48%
G0507,20,Lagos,Retail,8,0,0,0,None,24.9,86,82,16,646228,13.32,137.3,No,0,84,405015.18,37.33,86%,37.33%,506,3/3/2023,March,3,2023,84%
G0518,43,Lagos,Event,8,0,0,0,None,18,97,82,13,1019148,27.33,68.8,Yes,0,89.5,621065.51,39.06,97%,39.06%,517,2/14/2024,February,2,2024,90%
G0552,41,Abuja,Event,10,0,0,0,None,34.3,91,60,18,514051,11.95,99.9,Yes,0,75.5,310028.95,39.69,91%,39.69%,551,12/20/2024,December,12,2024,76%
G0554,32,Ibadan,Residential,8,0,0,0,None,35.2,75,63,4,850162,27.4,155.4,No,0,69,687656.52,19.11,75%,19.11%,553,2/22/2024,February,2,2024,69%
G0569,29,Kano,Retail,10,0,0,0,None,15.7,81,79,2,822059,19.26,48.1,Yes,0,80,766812.18,6.72,81%,6.72%,568,5/9/2023,May,5,2023,80%
G0576,32,Abuja,Retail,8,0,0,0,None,26,96,54,18,642925,8.27,70.5,Yes,0,75,506698.08,21.19,96%,21.19%,575,12/16/2024,December,12,2024,75%
G0577,23,Lagos,Corporate,8,0,0,0,None,21.2,67,65,4,440931,11.06,38.3,No,0,66,286564.98,35.01,67%,35.01%,576,1/17/2023,January,1,2023,66%
G0579,51,Ibadan,Corporate,8,0,0,0,None,17.9,78,82,19,1214012,26.94,124.1,Yes,0,80,1107225.95,8.8,78%,8.80%,578,3/19/2023,March,3,2023,80%
G0591,49,Ibadan,Event,10,0,0,0,None,13.6,69,78,14,726141,20.4,55.6,No,0,73.5,684652.83,5.71,69%,5.71%,590,3/3/2023,March,3,2023,74%
G0599,53,Kano,Industrial,8,0,0,0,None,23.2,56,55,2,806367,28.12,112.1,No,0,55.5,715875.2,11.22,56%,11.22%,598,11/11/2023,November,11,2023,56%
G0604,46,Port Harcourt,Event,10,0,0,0,None,27.9,63,46,5,318510,27.56,75.8,Yes,0,54.5,258087.01,18.97,63%,18.97%,603,4/16/2024,April,4,2024,55%
G0606,52,Ibadan,Retail,10,0,0,0,None,17.5,82,92,3,1059987,15.18,117.5,Yes,0,87,714124.77,32.63,82%,32.63%,605,6/18/2024,June,6,2024,87%
